internalTaxonId,scientificName,name,language,main
87575330,Micromitrium tenerum,Millimetre Moss,English,true
84768359,Fissidens rivularis,Bach-Spaltzahnmoos,German,false
84768359,Fissidens rivularis,River Pocket-moss,English,true
85841525,Entosthodon muhlenbergii,Mühlenbergs Hinterzahnmoos,German,false
85841525,Entosthodon muhlenbergii,Mühlenberg's Cord-moss,English,true
85841752,Physcomitrium eurystomum,Weitmündiges Blasenmützenmoos,German,false
85841752,Physcomitrium eurystomum,Norfolk Bladder-moss,English,true
86186380,Physcomitrium sphaericum,Kugelförmiges Blasenmützenmoos,German,false
86186380,Physcomitrium sphaericum,Dwarf Bladder-moss,English,true
85842468,Grimmia crinita,Haar-Kissenmoos,German,false
85842468,Grimmia crinita,Hedgehog Grimmia,English,true
85844243,Racomitrium himalayanum,Himalayan Fringe-moss,English,true
87497016,Marsupella stableri,Stabler's Rustwort,English,true
86500402,Helodium blandowii,Blandows Sumpfthujamoos,German,false
86500402,Helodium blandowii,Kärrkammossa,Swedish,false
86500402,Helodium blandowii,Blandow's Tamarisk-moss,English,true
39196,Herbertus borealis,Northern Prongwort,English,true
87497585,Herbertus hutchinsiae,Juniper Prongwort,English,true
87461133,Hageniella micans,Gesägtes Neuhohlblattmoos,German,false
87461133,Hageniella micans,Sparkling Signal-moss,English,true
87462973,Hypnum imponens,Praktfläta,Swedish,false
87462973,Hypnum imponens,Pellucid Plait-moss,English,true
78662054,Mesoptychia fitzgeraldiae,Fitzgerald's Notchwort,English,true
87578544,Protolophozia herzogiana,Herzogs Spitzmoos,German,false
87578544,Protolophozia herzogiana,Herzog's Notchwort,English,true
87498039,Bazzania pearsonii,Arch-leaved Whipwort,English,true
84829830,Campylopus subporodictyon,Rusty Bow-moss,English,true
87521669,Mastigophora woodsii,Woods' Whipwort,English,true
84315851,Mielichhoferia elongata,Nickkismossa,Swedish,false
84315851,Mielichhoferia elongata,Elongate Copper-moss,English,true
84316108,Mielichhoferia mielichhoferiana,Echtes Mielichhofermoos,German,false
84316108,Mielichhoferia mielichhoferiana,Kopparkismossa,Swedish,false
84316108,Mielichhoferia mielichhoferiana,Alpine Copper-moss,English,true
39191,Thamnobryum angustifolium,Derbyshire Feather-moss,English,true
87467834,Thamnobryum cataractarum,Yorkshire Feather-moss,English,true
87567059,Orthodontium gracile,Slender Thread-moss,English,true
87521855,Plagiochila carringtonii,Carrington's Featherwort,English,true
84712837,Atrichum angustatum,Steifblättriges Katharinenmoos,German,false
84712837,Atrichum angustatum,Lesser Smoothcap,English,true
85839319,Bryoerythrophyllum caledonicum,Scottish Beard Moss,English,true
87560412,Didymodon glaucus,Blaugrünes Doppelzahnmoos,German,false
87560412,Didymodon glaucus,Glaucous Beard-moss,English,true
87561639,Leptodontium flexifolium,Gekräuseltes Dünnzahnmoos,German,false
87561639,Leptodontium flexifolium,Bent-leaved Beard-moss,English,true
